Trial,Goal_X,Goal_Y,Goal_Z,Base_Success,Base_Time,Base_Nodes,Base_Tunneling,SCA_Success,SCA_Time,SCA_Nodes
1,0.04754565013780443,-0.3495016061781085,0.4903667494531111,True,0.566,900,False,True,0.444,440
2,-0.3867788145773882,-0.1458735350478213,0.35952711013185856,True,2.005,1737,False,True,3.041,1625
3,-0.12259586945797155,0.09622143137435142,0.4816657280103266,True,1.698,1617,False,True,1.093,863
4,-0.270556340297894,0.35846918971179903,0.19930093341960206,True,0.066,278,False,True,0.287,322
5,-0.02478187770541945,-0.05494621786478709,0.6225802529476934,True,0.002,20,False,True,0.021,30
6,-0.06929282841230244,-0.4378886776462353,0.3774691118814514,True,0.226,562,False,True,2.606,1498
7,0.03666936913801037,-0.17594501214271108,0.47063638358238474,True,1.514,1521,False,True,2.867,1609
8,-0.050867157310634424,0.21195535302069277,0.5809023591764352,True,0.007,74,False,True,0.152,186
9,-0.2605112787933257,-0.2716568373295209,0.41659074867536233,True,0.609,956,True,True,4.427,2091
10,-0.10115959456855651,0.42142457014423285,0.40579916018850326,True,0.057,259,True,True,0.126,160
11,0.1943670123197303,0.04163474547897898,0.5611712227687407,True,0.199,525,False,True,0.009,13
12,0.09095645326846848,0.16121527275464143,0.5282664513427731,True,0.103,361,False,True,1.210,923
13,-0.22696771168944502,-0.03500063324583539,0.43915740819013316,True,12.314,4397,True,True,10.863,3487
14,0.0021116359471510153,-0.0035412279608042305,0.5646295329641957,True,0.077,300,False,True,0.094,120
15,0.206534666551925,-0.3478439849861536,0.1482852935062533,True,0.994,1217,False,True,1.122,859
16,-0.09437206814388026,0.3220913312037438,0.5039350226493087,True,0.021,136,False,True,0.329,354
17,-0.012130780936819846,-0.06643330745613804,0.6282125389714923,True,0.002,31,False,True,0.045,61
18,-0.05753407030856504,-0.3631959992070507,0.00542423524513741,True,3.110,2189,True,True,4.876,2194
19,0.07725563504172629,-0.06902269983129675,0.6071258545869176,True,0.001,19,False,True,0.018,26
20,0.3446448553665078,0.26590756444249447,0.13505886085591892,True,1.201,1339,True,True,14.903,4081
21,0.050113837936055214,0.48770724854227077,0.1882285821964052,True,0.328,683,False,True,0.747,668
22,-0.37408768916275753,0.2883202041212395,0.32556257848908954,True,4.842,2716,True,True,0.518,503
23,-0.21056705104647191,0.026954097795761984,0.5932491362941017,True,0.097,343,False,True,1.406,1029
24,-0.36115662957821204,-0.31230207121856085,0.29837066058057155,True,0.369,730,True,True,8.366,2980
25,0.19658967098330027,0.33069821996588583,0.3722802370081065,True,9.875,3941,True,True,0.272,305
26,0.09654365741336032,0.3212814788877863,0.4114428452786921,True,12.235,4381,False,True,1.668,1123
27,0.1760257254023475,0.2889146492272599,0.3755979305613305,True,1.042,1255,True,True,2.185,1343
28,-0.2969496867585476,-0.1393194152959949,0.4877585573078069,True,0.313,670,False,True,2.700,1552
29,-0.10427284401723734,-0.35042189188053013,0.485955373332367,True,0.152,448,False,True,0.189,228
30,-0.43011774035501565,0.11732772033449278,0.3716129635481048,True,0.171,481,False,True,0.379,404
31,0.19753667428991292,0.33719799646943377,0.13399615530809655,True,4.268,2582,False,True,12.829,3835
32,-0.47084800998109566,0.03325638751502189,0.336566091714656,True,0.778,1080,False,True,1.363,996
33,0.22507568987044932,0.10176144621192915,0.4380373691383659,True,1.360,1438,False,True,2.116,1341
34,0.07804805519514046,0.3322441919770243,0.25392029032077523,True,2.124,1806,False,True,10.997,3518
35,-0.329164634292151,-0.12210069434941084,0.3025324825854663,True,10.894,4134,False,True,1.269,952
36,0.12010815205417061,-0.08997774023557735,0.45830265704767664,True,1.120,1297,False,True,5.873,2450
37,0.04990816159043911,0.01166538121898033,0.6127104748781385,True,0.000,2,False,True,0.001,2
38,-0.019082763182305847,-0.0016518600018446553,0.5572468349813016,True,0.056,253,False,True,0.111,140
39,0.016601679040926395,-0.04385528283501498,0.63978964334544,True,0.000,4,False,True,0.001,3
40,-0.1531721430828874,-0.4324544147297615,0.32664325770292213,True,0.084,323,False,True,1.039,832
41,0.012268774409467699,0.015798944606532077,0.6299205847639548,True,0.000,2,False,True,0.001,2
42,0.0005489600402932712,0.0013243344753855052,0.6168270518191359,True,0.001,3,False,True,0.001,3
43,0.1589651936259943,0.2478087487179439,0.45857158147777266,True,0.167,474,False,True,8.388,3015
44,-0.15464344830209192,-0.004120334241713907,0.44696789514013674,True,9.321,3820,False,False,16.644,4398
45,-0.005167750475149667,0.12387421647002436,0.5653836536086564,True,0.028,168,False,True,0.192,228
46,-0.04412818317387472,-0.48865553490906655,0.13858076417209442,True,3.192,2221,False,True,1.828,1213
47,-0.2733166596587507,-0.22105193916018775,0.42159166769324447,True,0.135,419,True,True,0.589,556
48,0.24610983952710117,0.033607815356093376,0.39190502963801194,False,15.118,4858,False,False,17.749,4428
49,-0.3278857524716635,0.06317953517932279,0.5150988623368806,True,0.067,279,False,True,2.398,1406
50,-0.44491621494665784,-0.05510964491817195,0.3842414975254281,True,1.424,1476,False,True,14.185,4009
