Trial,Goal_X,Goal_Y,Goal_Z,Base_Success,Base_Time,Base_Nodes,Base_Tunneling,SCA_Success,SCA_Time,SCA_Nodes
1,-0.3134990877450711,0.357115776968081,0.245362552251637,True,3.993,2508,False,True,0.559,524
2,-0.19005972040469526,-0.19418967586276295,0.46168839979868426,True,0.186,511,False,True,2.066,1321
3,-0.13326283571030076,-0.07140911502014843,0.5267842540842498,True,0.364,735,False,True,0.400,424
4,0.07585877536383763,0.39735553182690075,0.288011372354169,True,1.695,1630,False,True,3.326,1772
5,0.3234276005650185,-0.1848351448679463,0.48421276826934356,True,0.219,557,False,True,0.671,623
6,-0.013376094471956262,0.01201584725738826,0.5202698534502728,True,0.251,600,False,True,0.282,317
7,-0.14132109198005874,0.2572963287354788,0.5503811343448352,True,0.017,118,False,True,1.233,951
8,-0.048792796254288104,0.3490912240804789,0.5027120073205439,True,5.932,3079,True,True,0.094,123
9,-0.3065880539714009,0.3989103646372626,0.19898513985803007,True,1.671,1627,True,True,0.645,604
10,0.3103862962037899,0.12383702629903708,0.4515436223884691,True,1.008,1253,True,True,1.850,1228
11,-0.033124941601016956,0.003978622157816152,0.4883007709624284,True,0.805,1112,True,True,2.978,1671
12,-0.11870940719692634,0.38733565393415187,0.3328555012406011,True,2.008,1782,True,True,4.713,2181
13,-0.23875956706232296,-0.1983219728006879,0.5387947422877764,True,0.071,293,False,True,2.849,1623
14,-0.41213803713136626,-0.19779705555644492,0.3660392711355902,True,0.529,895,True,True,1.453,1046
15,-0.45573042638651146,-0.2343789660189706,0.19448811814836664,True,0.877,1166,False,True,1.876,1257
16,-0.015095816719016941,-0.48980470814213645,0.26369811798833964,True,0.550,911,False,True,1.797,1214
17,0.10025957012705264,0.43412123579370965,0.21123885077760648,False,14.844,4869,False,True,0.592,566
18,-0.13516202583556003,0.09891998770132891,0.570573686360465,True,0.019,127,False,True,0.044,58
19,-0.3223641584154684,0.15521663400434516,0.022554623210470137,True,9.671,3929,False,False,16.380,4416
20,0.057774120437380824,0.07800928042771603,0.520800866702907,True,0.152,456,False,True,1.082,871
21,0.010237384098359557,-0.003275820566233409,0.6418076460656972,True,0.000,2,False,True,0.001,3
22,0.018691661878808764,-0.48211730058262897,0.03812261219359711,True,1.486,1528,False,True,5.092,2286
